image,min_m,median_m,max_m
image1_overlay,1.1434780359268188,1.5164554119110107,2.370819091796875
image2_overlay,1.4833201169967651,1.8801026344299316,2.1690287590026855
images_overlay,1.0362440347671509,1.4986646175384521,1.8162978887557983
